0800	美食
5847	一级医院
5848	综合医院
5849	妇产科医院
584a	妇科医院
584b	儿童医院
584c	口腔医院
584d	肿瘤医院
584e	精神病医院
584f	糖尿病医院
5850	牙科医院
5851	眼科医院
5852	骨科医院
5853	男科医院
5854	皮肤病医院
5855	心理医院
5856	传染病医院
5857	妇幼保健院
5858	肛肠科医院
5859	心血管病医院
585a	五官科医院
585b	中医院
5880	诊所
58c0	门诊部
5900	急救中心
5940	疗养院
5980	防疫站
59c0	保健院
5a00	康复中心
5a40	体检中心
5a80	药店
5ac0	整形医院
5fc0	其他
6000	旅游景点
6040	公园
6041	动物园
6042	植物园
6043	国家公园
6080	游乐园
60c0	海底世界
6100	博物馆
6140	美术馆
6180	科技馆
61c0	展览馆
6200	名胜古迹
6240	海滨浴场
6280	风景区
6281	5A风景区
6282	4A风景区
6283	3A风景区
62c0	自然保护区
6300	旅游度假区
67c0	其他
6800	教育
6840	学校
6841	幼儿园
6842	小学
6843	初中
6844	高中
6845	中专
6846	大学
6847	特殊教育学校
6880	科研机构
68c0	图书馆
6900	留学中介
6940	成人教育
6980	亲子教育
6fc0	其他
7000	培训机构
7040	技能培训
7041	驾校
7042	电脑培训
7043	美容培训
7044	美发培训
7045	厨师培训
7080	艺术培训
7081	美术培训
7082	吉他培训
7083	钢琴培训
7084	小提琴培训
7085	声乐培训
70c0	语言培训
70c1	日语培训
70c2	韩语培训
70c3	英语培训
70c4	法语培训
70c5	德语培训
7100	职业培训
7140	考试培训
7141	GRE培训
7142	高考培训
7143	考研培训
7144	公务员考试培训
7145	司法考试培训
7146	TOFEL培训
7147	四六级培训
7180	体育培训
7181	乒乓球培训
7182	羽毛球培训
7183	网球培训
77c0	其他
7800	交通设施
7840	飞机场
7880	机场出入口
78c0	火车站
7900	地铁站
7940	长途汽车站
7980	机场巴士
79c0	公交车站
7a00	港口
7a40	出租车站
7a80	高速公路服务区
7ac0	收费站
7b00	停车场
7b40	加油站
7b80	红绿灯
8000	房地产
8040	住宅区
8041	小区
8042	公寓
8043	别墅
8080	写字楼
8800	自然地物
8840	山峰
8880	湖泊
88c0	河流
8900	植被
8940	岛屿
8980	海洋
9000	行政区划
9040	省
9080	直辖市
90c0	自治区
9100	特别行政区
9140	自治州
9180	地级市
91c0	县
9200	市辖区
9240	商圈
9280	乡镇
92c0	村庄
9300	科技园
9301	软件园
9340	工业区
9380	开发区
9381	旅游开发区
9382	经济开发区
9383	高新技术开发区
9800	政府机构
9840	法院
9880	检察院
98c0	政府
98c1	国务院
98c2	省政府
98c3	市政府
98c4	县政府
98c5	镇政府
98c6	街道办事处
98c7	政府驻地办事处
9900	村民委员会
9940	居民委员会
9980	公证处
99c0	机关单位
99c1	公安局
99c2	派出所
99c3	交通局
99c4	司法局
99c5	消防局
99c6	工商局
99c7	地税局
99c8	国税局
99c9	财政局
99ca	民政局
99cb	交管局
99cc	电信局
99cd	海关
99ce	食品局
99cf	地震局
99d0	劳动局
99d1	教育局
99d2	气象局
99d3	物价局
99d4	烟草专卖局
99d5	质监局
99d6	卫生局
99d7	规划局
99d8	水利局
99d9	文化局
99da	审计局
99db	旅游局
99dc	体育局
99dd	粮食局
99de	房管所
99df	档案馆
99e0	机关驻地办事处
9a00	涉外机构
9a01	大使馆
9a02	签证处
9a40	福利机构
9a41	敬老院
9a42	福利院
9a80	慈善机构
9a81	红十字会
9a82	残疾人联合会
9a83	青少年基金会
a000	公司企业
a040	IT企业
a041	软件公司
a042	互联网公司
a080	传媒公司
a081	广播电视公司
a082	报社
a083	杂志社
a084	广告公司
a0c0	公用事业
a0c1	自来水公司
a0c2	电力公司
a0c3	燃气公司
a100	房地产公司
a101	房地产开发公司
a102	物业管理公司
a103	售楼处
a140	物流公司
a141	货运公司
a142	快递公司
a180	事务所
a181	律师事务所
a182	会计事务所
a183	审计事务所
a1c0	出版社
a200	旅行社
a201	国际旅行社
a240	咨询公司
a241	管理咨询公司
a242	技术咨询公司
a243	工程咨询公司
a244	投资咨询公司
a245	教育咨询公司
a280	制造业
a281	纺织公司
a282	食品公司
a283	制药公司
a284	通讯设备制造公司
a285	计算机制造公司
a286	家电制造公司
a287	汽车制造公司
a2c0	猎头公司
a300	通讯公司
a340	建筑公司
a380	装修公司
a3c0	经纪公司
a400	殡葬公司
a440	礼仪公司
a480	公关公司
a4c0	劳务公司
a500	烟草公司
a540	化工公司
a580	拍卖公司
a5c0	婚庆公司
a600	园艺公司
a640	人才市场
a680	工厂
a6c0	矿区
a700	影视公司
a740	艺术团
a800	门址
b000	道路
b040	高速公路
b080	国道
b0c0	省道
b100	城市主干道
b140	县道
b800	交通线
b840	公交线路
b880	地铁线路
b8c0	铁路
